timestamp,load_value
2024/5/29 12:30,8749.551
2024/5/29 12:45,8732.171
2024/5/29 13:00,8712.345
2024/5/29 13:15,9906.687
2024/5/29 13:30,10365.935
2024/5/29 13:45,10534.168
2024/5/29 14:00,10479.371
2024/5/29 14:15,10272.929
2024/5/29 14:30,10428.227
2024/5/29 14:45,10466.716
2024/5/29 15:00,10533.186
2024/5/29 15:15,10220.399
2024/5/29 15:30,10083.459
2024/5/29 15:45,9399.658
2024/5/29 16:00,9450.165
2024/5/29 16:15,9033.796
2024/5/29 16:30,8646.151
2024/5/29 16:45,8702.472
2024/5/29 17:00,8806.933
2024/5/29 17:15,8769.863
2024/5/29 17:30,8370.493
2024/5/29 17:45,7645.676
2024/5/29 18:00,7698.291
2024/5/29 18:15,7638.944
2024/5/29 18:30,7537.064
2024/5/29 18:45,7722.842
2024/5/29 19:00,7364.752
2024/5/29 19:15,7182.978
2024/5/29 19:30,6986.088
2024/5/29 19:45,7040.58
2024/5/29 20:00,7126.264
2024/5/29 20:15,7075.668
2024/5/29 20:30,7042.608
2024/5/29 20:45,6884.288
2024/5/29 21:00,6578.73
2024/5/29 21:15,6461.67
2024/5/29 21:30,6243.628
2024/5/29 21:45,6123.405
2024/5/29 22:00,6136.601
2024/5/29 22:15,6005.683
2024/5/29 22:30,5882.969
2024/5/29 22:45,5725.261
2024/5/29 23:00,5507.768
2024/5/29 23:15,5140.377
2024/5/29 23:30,4686.211
2024/5/29 23:45,4531.036
2024/5/30 0:00,4202.569
2024/5/30 0:15,3954.001
2024/5/30 0:30,3759.22
2024/5/30 0:45,3717.283
2024/5/30 1:00,3757.282
2024/5/30 1:15,3789.554
2024/5/30 1:30,3781.178
2024/5/30 1:45,3759.684
2024/5/30 2:00,3704.923
2024/5/30 2:15,3684.105
2024/5/30 2:30,3661.726
2024/5/30 2:45,3724.349
2024/5/30 3:00,3682.791
2024/5/30 3:15,3669.391
2024/5/30 3:30,3639.204
2024/5/30 3:45,3472.051
2024/5/30 4:00,3320.349
2024/5/30 4:15,3314.276
2024/5/30 4:30,3459.717
2024/5/30 4:45,3443.626
2024/5/30 5:00,3491.157
2024/5/30 5:15,3555.083
2024/5/30 5:30,3598.204
2024/5/30 5:45,3597.286
2024/5/30 6:00,3629.593
2024/5/30 6:15,3512.983
2024/5/30 6:30,3517.993
2024/5/30 6:45,3495.394
2024/5/30 7:00,3360.45
2024/5/30 7:15,3207.498
2024/5/30 7:30,2901.489
2024/5/30 7:45,2677.127
2024/5/30 8:00,2589.078
2024/5/30 8:15,2593.794
2024/5/30 8:30,2475.793
2024/5/30 8:45,2427.777
2024/5/30 9:00,2385.725
2024/5/30 9:15,2310.151
2024/5/30 9:30,2314.063
2024/5/30 9:45,2378.803
2024/5/30 10:00,2339.674
2024/5/30 10:15,2344.676
2024/5/30 10:30,2352.556
2024/5/30 10:45,2378.801
2024/5/30 11:00,2327.312
2024/5/30 11:15,2370.226
2024/5/30 11:30,2287.595
2024/5/30 11:45,2284.774
2024/5/30 12:00,2286.985
2024/5/30 12:15,2237.575
2024/5/30 12:30,2273.723
2024/5/30 12:45,2251.249
2024/5/30 13:00,2294.563
2024/5/30 13:15,2320.122
2024/5/30 13:30,2382.092
2024/5/30 13:45,2287.433
2024/5/30 14:00,2328.913
2024/5/30 14:15,2299.697
2024/5/30 14:30,2328.557
2024/5/30 14:45,2437.166
2024/5/30 15:00,2404.023
2024/5/30 15:15,2347.529
2024/5/30 15:30,2383.202
2024/5/30 15:45,2332.585
2024/5/30 16:00,2337.314
2024/5/30 16:15,2353.361
2024/5/30 16:30,2384.422
2024/5/30 16:45,2372.594
2024/5/30 17:00,2334.687
2024/5/30 17:15,2285.674
2024/5/30 17:30,2305.093
2024/5/30 17:45,2263.17
2024/5/30 18:00,2197.158
2024/5/30 18:15,1996.531
2024/5/30 18:30,2067.383
2024/5/30 18:45,2033.537
2024/5/30 19:00,1959.735
2024/5/30 19:15,2116.896
2024/5/30 19:30,2199.443
2024/5/30 19:45,2212.625
2024/5/30 20:00,2157.006
2024/5/30 20:15,2197.956
2024/5/30 20:30,2360.181
2024/5/30 20:45,2399.689
2024/5/30 21:00,2334.033
2024/5/30 21:15,2346.638
